Zeit t / min;Spannung U_A1 / V;Spannung U_B1 / V;Spannungsquelle S_1
0;0,285;0,1515;1
0,0333166666666667;0,285;0,15;1
0,0666666666666667;0,309;0,1515;1
0,1;0,3405;0,1545;1
0,133316666666667;0,372;0,1575;1
0,16665;0,4065;0,1605;1
0,2;0,438;0,165;1
0,233333333333333;0,468;0,1665;1
0,26665;0,5025;0,1695;1
0,299983333333333;0,534;0,1725;1
0,333333333333333;0,5685;0,177;1
0,366666666666667;0,6;0,1785;1
0,399983333333333;0,6315;0,1815;1
0,433316666666667;0,6645;0,1845;1
0,46665;0,696;0,186;1
0,5;0,7275;0,1875;1
0,533316666666667;0,7575;0,189;1
0,566683333333333;0,7905;0,189;1
0,6;0,8205;0,189;1
0,63335;0,8505;0,1845;1
0,666666666666667;0,8805;0,183;1
0,7;0,909;0,1755;1
0,733333333333333;0,9375;0,171;1
0,766666666666667;0,9675;0,1665;1
0,8;0,993;0,159;1
0,833333333333333;1,02;0,1485;1
0,86665;1,044;0,1425;1
0,9;1,0695;0,135;1
0,933316666666667;1,0935;0,1275;1
0,966666666666667;1,1175;0,1215;1
1;1,1385;0,1125;1
1,03333333333333;1,1595;0,1065;1
1,06666666666667;1,1805;0,1005;1
1,1;1,2015;0,096;1
1,13333333333333;1,2225;0,09;1
1,16666666666667;1,2435;0,087;1
1,2;1,263;0,081;1
1,23333333333333;1,2825;0,0795;1
1,26666666666667;1,3005;0,072;1
1,3;1,32;0,0705;1
1,33331666666667;1,338;0,0675;1
1,36666666666667;1,3545;0,063;1
1,4;1,374;0,0615;1
1,43333333333333;1,389;0,057;1
1,46665;1,4055;0,057;1
1,49998333333333;1,4235;0,054;1
1,53333333333333;1,437;0,051;1
1,56668333333333;1,452;0,0495;1
1,6;1,4685;0,048;1
1,63335;1,4835;0,0465;1
1,66665;1,4985;0,0435;1
1,7;1,5135;0,042;1
1,73331666666667;1,5255;0,0405;1
1,76666666666667;1,5405;0,039;1
1,79998333333333;1,554;0,0375;1
1,83335;1,5675;0,0405;1
1,86666666666667;1,5825;0,036;1
1,89998333333333;1,5945;0,036;1
1,93335;1,605;0,0345;1
1,96666666666667;1,617;0,033;1
2;1,6275;0,0315;1
2,03333333333333;1,6215;0,0315;1
2,06666666666667;1,6125;0,033;1
2,1;1,6005;0,0345;1
2,13333333333333;1,587;0,0345;1
2,16666666666667;1,5735;0,0345;1
2,19998333333333;1,5615;0,036;1
2,23333333333333;1,548;0,036;1
2,26666666666667;1,5345;0,0375;1
2,3;1,5225;0,0375;1
2,33333333333333;1,509;0,039;1
