Zeit t / min;Spannung U_A1 / V;Spannung U_B1 / V;Spannungsquelle S_1
0;0,381;1,389;1
0,0333166666666667;0,3795;1,3965;1
0,0666666666666667;0,4035;1,368;1
0,1;0,4335;1,269;1
0,133333333333333;0,465;1,1475;1
0,16665;0,4935;1,029;1
0,2;0,525;0,918;1
0,233316666666667;0,555;0,8205;1
0,266666666666667;0,585;0,7275;1
0,299983333333333;0,615;0,654;1
0,333333333333333;0,6435;0,5805;1
0,36665;0,6735;0,522;1
0,4;0,702;0,468;1
0,433316666666667;0,7305;0,4185;1
0,466666666666667;0,759;0,378;1
0,499983333333333;0,7875;0,339;1
0,533316666666667;0,816;0,3075;1
0,566666666666667;0,8445;0,2805;1
0,6;0,873;0,255;1
0,63335;0,9;0,2325;1
0,666666666666667;0,9255;0,2145;1
0,699983333333333;0,9525;0,195;1
0,733333333333333;0,9795;0,1785;1
0,766666666666667;1,0035;0,165;1
0,8;1,029;0,15;1
0,833316666666667;1,056;0,1395;1
0,86665;1,08;0,129;1
0,9;1,1025;0,12;1
0,933316666666667;1,1265;0,1125;1
0,966666666666667;1,1505;0,1065;1
1;1,173;0,099;1
1,03331666666667;1,1955;0,0945;1
1,06665;1,215;0,0885;1
1,1;1,2345;0,0825;1
1,13331666666667;1,2525;0,0795;1
1,16666666666667;1,272;0,0735;1
1,2;1,2915;0,0705;1
1,23331666666667;1,311;0,0675;1
1,26666666666667;1,3305;0,0645;1
1,3;1,3455;0,0615;1
1,33331666666667;1,365;0,0585;1
1,36665;1,3815;0,0555;1
1,39998333333333;1,3995;0,054;1
1,43331666666667;1,4145;0,0525;1
1,46665;1,4325;0,0495;1
1,49998333333333;1,4475;0,0495;1
1,53333333333333;1,464;0,048;1
1,56665;1,4805;0,0435;1
1,6;1,4955;0,042;1
1,63333333333333;1,5105;0,042;1
1,66666666666667;1,5255;0,039;1
1,69998333333333;1,542;0,039;1
1,73331666666667;1,554;0,039;1
1,76665;1,5675;0,036;1
1,79998333333333;1,5825;0,036;1
1,83331666666667;1,593;0,033;1
1,86665;1,608;0,0345;1
1,89998333333333;1,62;0,033;1
1,93331666666667;1,6245;0,0315;1

